标题,来源,开始时间,结束时间,链接
长源电力随州发电发电有限公司新建工程质量、环境、职业健康安全综合管理体系咨询认证服务询价采购(2次挂网),国能e购www.neep.shop,2020-12-07 15:47:31,2020-12-10 17:00:00,https://gd-prod.oss-cn-beijing.aliyuncs.com/upload/cms/article/inquireOne/1806364.html
﻿打印机惠普M405D,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/08/ormd_2686863_922484.html
石泉煤矿大型设备安全性能检测项目1次公告,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/08/ormd_2686847_922447.html
xd20200202001218-36交换机,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/08/ormd_2687058_922460.html
燃料湖北分公司服务器采购（第二次）,华电集团www.chdtp.com.cn,2020-12-08,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/08/ormd_2686901_922613.html
1201-天津军粮城发电有限公司安全体验培训中心建设（第二次）,华电集团www.chdtp.com.cn,2020-12-08,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/08/ormd_2686964_922521.html
华为S5735S交换机采购,华电集团www.chdtp.com.cn,2020-12-08,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/08/ormd_2687229_922816.html
数据存储服务器故障修复,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686705_922332.html
500-工控机,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686741_922318.html
193195华三交换机-陈佳量,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686748_922316.html
华电青岛发电有限公司安全教育及事故体验中心建设,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686775_922351.html
20-HDJT-YT-0086机架式服务器,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686765_922274.html
厂区周界安防系统改造及综合布线等零星工程,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686832_922407.html
下沙安全消防急救培训系统建设采购,华电集团www.chdtp.com.cn,2020-12-04,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686197_921539.html
zjq20200202006814-05激光打印机,华电集团www.chdtp.com.cn,2020-12-04,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686293_921561.html
YN20200202000810-10交换机,华电集团www.chdtp.com.cn,2020-12-04,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686290_921564.html
安全监控系统（弥蒙安监）,华电集团www.chdtp.com.cn,2020-12-05,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686137_921689.html
RK202002028429-3鑫源-交换机（第二次）,华电集团www.chdtp.com.cn,2020-12-05,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686199_921642.html
RK202002028427-2邵武-交换机（第二次）,华电集团www.chdtp.com.cn,2020-12-05,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686195_921643.html
不锈钢安全带箱加工（第二次）,华电集团www.chdtp.com.cn,2020-12-06,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686136_921733.html
防火墙,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686336_921886.html
579-工控机,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686309_921890.html
彩转黑一体化摄像机、智能手动报警按钮、变送器、单电控电磁阀,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686255_921887.html
YN20200202006515-01交换机:光纤环网交换机,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686349_921900.html
桦川协联生物质能热电有限公司安防监控系统改造,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686378_922072.html
邹县电厂优化用水-脱硫废水系统一体化空压机,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686388_922141.html
交换机等物资采购（第二次）,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686414_922056.html
涉网系统主机安全加固软件公开询价,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686457_922157.html
宿州公司煤场扬尘治理改造工程安全验收评价,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686455_922167.html
沙沱发电厂2020年第四季度备件及汛后检修防护物资采购,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686443_922014.html
明珠存储服务器采购,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686470_922176.html
长峰风电场安全生产与营销实时监管系统,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686519_921990.html
HP系统服务器（福州轨道交通5号线一期工程）,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686545_922061.html
泵站加固工程交换机采购,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686544_922070.html
584-浪潮服务器,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686540_922078.html
煤场扬尘治理改造工程项目安全验收评价,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686535_922054.html
监控系统安装,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686569_922045.html
193188联想工作站-吕玉松,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686610_922000.html
下沙公司交换机维保服务公开询价,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686585_922001.html
193126打印机-袁泉,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686622_921932.html
193127打印机-袁泉,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686615_921933.html
193128打印机-袁泉,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686614_921939.html
193167戴尔工作站-袁泉,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686613_921945.html
沈阳热电公司污水厂污染源自动监控系统升级改造项目竞谈二次公告,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686635_922272.html
583-工控机,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686629_921912.html
一体化风光柴储微电网装置研究及应用储能变流器设备,华电集团www.chdtp.com.cn,2020-12-07,,https://www.chdtp.com.cn/staticPage/ormd/2020/12/07/ormd_2686671_922266.html
﻿2020年12月07日华能国际电力股份有限公司南京电厂南京电厂2020年度公用系统大修现场消缺PLC主机卡件（急用）公开询价询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11733927
2020年12月07日华能石岛湾核电开发有限公司华能石岛湾核电开发有限公司备用应急指挥中心机柜采购询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11733912
珞璜电厂氨区安全仪表系统整改项目安装施工工程延期询价公告202012070911,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11733768
2020年12月07日华能吉林发电有限公司新能源分公司华能吉林新能源公司12月洮北风电场一二期位置传感器、PLC主机等物资集中采购项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11733641
2020年12月07日华能吉林发电有限公司新能源分公司华能吉林新能源公司四平风电场扩建一期打印机、写字台等物资集中采购项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11733630
#3机组主机及辅机系统检修项目延期询价公告202012071317,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734289
#1机组C修主机及辅机系统检修项目延期询价公告202012071317,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734288
2020年12月07日华能国际电力股份有限公司南通电厂华能南通电厂2021年监控系统、门禁系统等维保项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734241
2020年12月07日四川华能康定水电有限责任公司冷竹关及小天都电站2021年运行期安全监测询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734229
2020年12月07日华亭煤业集团有限责任公司本部华亭煤业公司HMYBXJ2020-17004砚北煤矿职工安全手册证件夹采购询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734163
2020年12月07日北方电力公司本部财务处北方本部视频会议系统建设(13%)202011询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734118
黄台安全帽延期询价公告202012071025,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734025
2020年12月07日北方魏家峁煤电有限责任公司魏家峁矿(600万吨)安全标志牌(一票制)202011询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11733996
华能明台公司明台电站2021-2023年度水工设施安全监测项目采购延期询价公告202012071000,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11733957
2020年12月07日华能煤业有限公司陕西矿业分公司华能煤业有限公司陕西矿业分公司本部网络安全系统核心防火墙采购项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734963
2020年12月07日华能煤业有限公司陕西矿业分公司公司各单位调度室视频会议系统采购项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734961
2020年12月07日华能煤业有限公司陕西矿业分公司柳巷煤矿选煤厂安全性能升级改造及智能煤流系统建设工程监理服务项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734958
2020年12月07日华能煤业有限公司陕西矿业分公司柳巷煤矿及选煤厂一级安全生产标准化达标创建服务项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734946
2020年12月07日华能国际电力股份有限公司安天探海威胁检测系统采购项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734942
2020年12月07日华能桐乡燃机热电有限责任公司华能桐乡燃机热电有限责任公司信息系统等级保护测评工作询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734831
2020年12月07日内蒙古北方蒙西发电公司蒙西(600MW)指示牌(安全出口)(一票制)202012询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734797
聊城昌润国电电气集中监控系统换热站监控系统采购延期询价公告202012071544,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734765
2020年12月07日华能上海燃机发电有限责任公司华能上海燃机发电有限责任公司2020年安全评估复查项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734693
2020年12月08日天津华能杨柳青热电有限责任公司杨柳青热电厂汽机厂房展示牌加固公开询价询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735369
沁北电厂检修部汽机专业采购安全围栏等22项-2020.11.18延期询价公告202012080925,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735358
南通电厂网络安全设备防火墙20.12.3延期询价公告202012080904,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735310
2020年12月08日华能国际电力股份有限公司长兴电厂华能长兴电厂工控机采购询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735241
2020年12月08日华能国际电力股份有限公司大连电厂大连电厂-燃料部PLC主机卡件半导体集成电路等采购询价w08询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735176
2020年12月08日华能国际电力股份有限公司汕头电厂1号机300MW亚临界机组协调安全性能提升及深度调峰工程询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735153
2020年12月07日华能呼和浩特风力发电有限公司华能新能源蒙西分公司集控中心网络安全防护设备采购项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735020
华能东方光伏35Kv生产监控系统电度数据采集传送及调试项目延期询价公告202012080952,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735429
华能邯峰电厂2021-2023年全厂电视监控系统委托维护延期询价公告202012081031,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735537
2020年12月08日华能左权煤电有限责任公司煤场封闭改工程安全设施竣工验收评估项目询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735920
2020年12月08日华能国际电力股份有限公司德州电厂华能德州电厂1-6号机组TDM服务器及数采器修理询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735912
2020年12月08日华能国际电力股份有限公司福州电厂华能福州电厂运行部安全围栏H201205询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735869
华能宁夏青铜峡雷避窑灰场100兆瓦光伏复合项目生产准备用安全工器具及电测仪表校验项目延期询价公告202012081056,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735611
金礼电站组件基础加固维修项目延期询价公告202012081055,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735609
2020年12月08日华能太仓发电有限责任公司华能太仓电厂重大危险源（氨区）安全评估询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735608
2020年12月08日呼伦贝尔安泰热电有限责任公司满洲里热电厂满洲里热电厂2020年行政管理区域网络安全加固及安防设备升级询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11735574
2020年12月08日扎赉诺尔煤业有限责任公司本部扎煤公司机房购置移动端访问服务器及数据迁移工程询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11736029
2020年12月08日华能扎赉特旗太阳能光伏发电有限公司科右中旗分公司华能高力板“风光储”一体化光伏项目标示牌采购询价书询价公告,华能集团http://ec.chng.com.cn,2020-12-08,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11736004
华亭煤业集团有限责任公司聚丙烯筹建处科技示范项目试生产条件安全评价、消防设施检测及重大危险源评估采购项目招标公告,华能集团http://ec.chng.com.cn,2020-12-07,,http://ec.chng.com.cn/ecmall/announcement/announcementDetail.do?announcementId=11734858
﻿【呼和浩特供电局调度交换组网及惠川变调度交换机更换工程录音系统采购项目】招标公告,内蒙古电力集团http://impc.e-bidding.org/,2020-12-08,,http://impc.e-bidding.org/biddingBulletin/2020-12-08/52125.html
